code,problem_id,group_id,user_id
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,jakenu0x5e
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,kuwaaaaaaaaaaaaaaaaa
"sysモジュールを用いる
識別子がAと等しいとき、
sysのstdinを順にAとして、繰り返す
Aの両端から空白改行を取り除いた文字列を英大文字に変換した文字列を出力する
",0020,groupA,kichi941
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,bal4u
"入力された文字列を英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,cima
"入力された文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,novel
"入力された文字列の文字列をAとする
空文字列をAとする
Bを順にAとして、繰り返す
96がAの順序数より小さいかどうかが123より小さいとき、
AをBだけ増加させる
Aを出力する
",0020,groupA,tricom
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,tige
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,KubotaNoriko1230
"空文字列を間に入れて、つまり入力された文字列の各要素に整数を英大文字に変換した文字列を適用した列を連結した文字列を出力する
",0020,groupA,pypy
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,kyuna
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,ikatakos
"入力された文字列のリストをAとする
空列をAとする
Bを順にAとして、繰り返す
Aの末尾にBを英大文字に変換した文字列を追加する
空文字列を間に入れてAを連結した文字列を出力する
",0020,groupA,manaka
"osのenvironに対応する値、もし存在しなければBをAとする
AがBと等しいとき、
A、Bを開いたファイルストリームをsysのstdinにする
入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,RandyWaterhouse
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,bonoron
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,doorgod
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Mackie
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,tkawata
"sysモジュールを用いる
osモジュールを用いる
入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,peroon
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,leeav_ten
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,meiadayz
"入力された文字列をAとする
空文字列をAとする
Bを順にAとして、繰り返す
Aが、つまり空白文字と等しくまたはAがBと等しいとき、
AにBを加えた値をAとする
Aに文字コードBの順序数から32を引いた値の文字を加えた値をAとする
Aを出力する
",0020,groupA,misuta
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,baron2
"識別子がAと等しいとき、
入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,zywuwen
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,tefu417
"入力された文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,shana
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,nananashi
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,soutatahara
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,tallestorange
"BをAとする
BをAとする
input().translate(str.maketrans(A,B))を出力する
",0020,groupA,Sim0000
"入力された文字列の英大小文字を交換した文字列を出力する
",0020,groupA,nut5ch3st
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,Fulltea
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,Pure70os
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,nagasw0603
"入力された文字列を整数とする
整数を英大文字に変換した文字列を出力する
",0020,groupA,yunakura
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,proayu33
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,aaa119
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,mimimi323
"入力された文字列の文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,myst7
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,roy2020
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,decodeco
"入力された文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,rei089
"入力された文字列をAとする
Bを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,mokomoko58
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列を出力する
",0020,groupA,mayu_build_01
"入力された文字列の文字列をAとする
Aを英大文字に変換した文字列をAとする
Aを出力する
",0020,groupA,sh415
"入力された文字列の文字列をAとする
整数、Aを英大文字に変換した文字列を出力する
",0020,groupA,gem19
"入力された文字列を英大文字に変換した文字列を出力する
",0020,groupA,jngkk97
