code,problem_id,group_id,user_id
"print ( input ( ) . upper ( ) )
",0020,groupA,jakenu0x5e
"print ( input ( ) . upper ( ) )
",0020,groupA,kuwaaaaaaaaaaaaaaaaa
"import sys
if __name__ == A :
for A in sys . stdin :
print ( A . strip ( ) . upper ( ) )
",0020,groupA,kichi941
"print ( input ( ) . upper ( ) )
",0020,groupA,bal4u
"A = input ( ) . upper ( )
print ( A )
",0020,groupA,cima
"A = input ( )
A = A . upper ( )
print ( A )
",0020,groupA,novel
"A = str ( input ( ) )
A = ''
for A in B :
if 96 < ord ( A ) < 123 : 
    A = A . upper ( )
A += B
print ( A )
",0020,groupA,tricom
"print ( input ( ) . upper ( ) )
",0020,groupA,tige
"A = str ( input ( ) )
print ( A . upper ( ) )
",0020,groupA,KubotaNoriko1230
"print ( '' . join ( map ( str . upper , input ( ) ) ) )
",0020,groupA,pypy
"print ( input ( ) . upper ( ) )
",0020,groupA,kyuna
"print ( input ( ) . upper ( ) )
",0020,groupA,ikatakos
"A = list ( input ( ) )
A = [ ]
for A in B :
A . append ( B . upper ( ) )
print ( '' . join ( A ) )
",0020,groupA,manaka
"A = os . environ . get ( B )
if A == B :
sys . stdin = open ( A , B )
print ( input ( ) . upper ( ) )
",0020,groupA,RandyWaterhouse
"print ( input ( ) . upper ( ) )
",0020,groupA,bonoron
"print ( input ( ) . upper ( ) )
",0020,groupA,doorgod
"print ( input ( ) . upper ( ) )
",0020,groupA,Mackie
"print ( input ( ) . upper ( ) )
",0020,groupA,tkawata
"import sys
import os
print ( input ( ) . upper ( ) )
",0020,groupA,peroon
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,leeav_ten
"print ( input ( ) . upper ( ) )
",0020,groupA,meiadayz
"A = input ( )
A = ''
for A in B :
if A == ' ' or A == B :
A = A + B
A = A + chr ( ord ( B ) - 32 )
print ( A )
",0020,groupA,misuta
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,baron2
"if __name__ == A :
print ( input ( ) . upper ( ) )
",0020,groupA,zywuwen
"print ( input ( ) . upper ( ) )
",0020,groupA,tefu417
"A = input ( )
A = A . upper ( )
print ( A )
",0020,groupA,shana
"print ( input ( ) . upper ( ) )
",0020,groupA,nananashi
"print ( input ( ) . upper ( ) )
",0020,groupA,soutatahara
"print ( input ( ) . upper ( ) )
",0020,groupA,tallestorange
"A = B
A = B
print ( input ( ) . translate ( str . maketrans ( A , B ) ) )
",0020,groupA,Sim0000
"print ( input ( ) . swapcase ( ) )
",0020,groupA,nut5ch3st
"print ( input ( ) . upper ( ) )
",0020,groupA,Fulltea
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,Pure70os
"A = str ( input ( ) )
print ( A . upper ( ) )
",0020,groupA,nagasw0603
"str = input ( )
print ( str . upper ( ) )
",0020,groupA,yunakura
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,proayu33
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,aaa119
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,mimimi323
"A = str ( input ( ) )
A = B . upper ( )
print ( A )
",0020,groupA,myst7
"A = str ( input ( ) )
print ( A . upper ( ) )
",0020,groupA,roy2020
"A = input ( )
A = B . upper ( )
print ( A )
",0020,groupA,decodeco
"A = input ( )
print ( A . upper ( ) )
",0020,groupA,rei089
"A = input ( )
A = B . upper ( )
print ( A )
",0020,groupA,mokomoko58
"A = str ( input ( ) )
print ( A . upper ( ) )
",0020,groupA,mayu_build_01
"A = str ( input ( ) )
A = A . upper ( )
print ( A )
",0020,groupA,sh415
"A = str ( input ( ) )
print ( str . upper ( A ) )
",0020,groupA,gem19
"print ( input ( ) . upper ( ) )
",0020,groupA,jngkk97
